N, CIM, BF
1000, 68, 50
2000, 140, 126
3000, 212, 289
4000, 450, 477
5000, 617, 781
6000, 906, 1098
7000, 1183, 1544
8000, 1472, 2023
9000, 1886, 2562
10000, 2330, 3189
11000, 2930, 3737
12000, 3290, 4333
13000, 4146, 5075
14000, 4649, 5886
15000, 5181, 6901
16000, 6608, 7576
17000, 7074, 8771
18000, 7339, 10041
19000, 8469, 10729
20000, 9659, 11858
21000, 10021, 13209
22000, 11133, 16295
23000, 12351, 15516
24000, 14005, 17143
25000, 15308, 18667
26000, 16014, 20487
27000, 16867, 25081
28000, 18464, 24403
29000, 19731, 28068
30000, 21113, 27532
31000, 22803, 29356
32000, 24155, 31278
33000, 28522, 34308
34000, 30417, 37839
35000, 31931, 39116
36000, 33548, 41474
37000, 35087, 43890
38000, 35692, 45165
39000, 37654, 47686
